,HW,AW,D,gammaHome,DaysSinceLastMatchRate,HTW_rate,HTD_rate,HTL_rate,ATW_rate,ATD_rate,ATL_rate,HTHW_rate,HTHD_rate,HTHL_rate,ATAW_rate,ATAD_rate,ATAL_rate,1_last_HTR,2_last_HTR,1_last_ATR,2_last_ATR,1_last_HTHR,2_last_HTHR,1_last_ATAR,2_last_ATAR,7_HTW_rate,12_HTW_rate,7_ATW_rate,12_ATW_rate,7_HTL_rate,12_HTL_rate,7_ATL_rate,12_ATD_rate,7_HTD_rate,12_HTD_rate,7_ATD_rate,7_ATD_rate,5_HTHW_rate,5_ATAW_rate,1_last_HTRisW,1_last_HTRisD,1_last_HTRisL,2_last_HTRisW,2_last_HTRisD,2_last_HTRisL,1_last_ATRisW,1_last_ATRisD,1_last_ATRisL,2_last_ATRisW,2_last_ATRisD,2_last_ATRisL,1_last_HTHRisW,1_last_HTHRisD,1_last_HTHRisL,2_last_HTHRisW,2_last_HTHRisD,2_last_HTHRisL,1_last_ATARisW,1_last_ATARisD,1_last_ATARisL,2_last_ATARisW,2_last_ATARisD,2_last_ATARisL
22,0,0,1,0.528337817043497,1.0,0.3333333333333333,0.0,0.6666666666666667,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,L,W,L,L,W,,L,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
23,0,1,0,0.528337817043497,1.4,0.3333333333333333,0.0,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,W,L,L,L,L,,L,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
24,0,1,0,0.5422450071102202,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,D,W,L,L,W,,L,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
25,1,0,0,0.4991724930076159,1.0,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.5,0.0,0.5,0.0,0.0,1.0,L,W,W,L,W,,L,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
26,0,0,1,0.4704247436496641,1.0,0.3333333333333333,0.0,0.6666666666666667,0.6666666666666666,0.0,0.33333333333333337,0.5,0.0,0.5,0.5,0.0,0.5,L,W,W,W,W,,W,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,0,0,1,0.5564948440175591,0.875,0.6666666666666666,0.0,0.33333333333333337,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,W,W,L,L,W,,L,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
28,0,1,0,0.4991724930076159,1.1428571428571428,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,W,L,W,L,L,,L,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
29,1,0,0,0.4581300550539758,1.0,0.0,0.25,0.75,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,D,L,W,L,L,,L,,,,,,,,,,,,,,,,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
30,0,1,0,0.4855526799864971,1.0,0.25,0.25,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,1.0,L,D,W,L,D,,L,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
31,1,0,0,0.5020572205252019,,0.3333333333333333,0.0,0.6666666666666667,0.25,0.25,0.5,0.5,0.0,0.5,0.0,0.0,1.0,W,L,D,L,W,,L,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
